               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.075172,0.023506,0,0.46169,0.73298,0.49385,0.25966,0.041467,0.0068008,0,0.070157,0.0033159,0.0033159
1,0.048012,0.01987,0,0.75302,0.6823,0.75629,0.42137,0.036098,0.0061055,0,0.040113,0.0066053,0.0066053
2,0.04228,0.01869,0,0.88566,0.85356,0.90598,0.54377,0.032075,0.0050292,0,0.010025,0.0098508,0.0098508
3,0.039906,0.018419,0,0.90335,0.83118,0.89993,0.5333,0.029854,0.0051712,0,0.009802,0.009802,0.009802
4,0.035459,0.017972,0,0.90776,0.84408,0.88794,0.54291,0.028974,0.0051012,0,0.009802,0.009802,0.009802
5,0.034112,0.017256,0,0.93111,0.88394,0.93508,0.65277,0.025906,0.0045076,0,0.009736,0.009736,0.009736
6,0.032699,0.017338,0,0.85309,0.76319,0.81647,0.4624,0.031082,0.0056892,0,0.00967,0.00967,0.00967
7,0.031452,0.017041,0,0.94618,0.88624,0.93131,0.6586,0.025792,0.0044792,0,0.009604,0.009604,0.009604
8,0.030983,0.016819,0,0.91203,0.88746,0.94367,0.65953,0.024159,0.0043895,0,0.009538,0.009538,0.009538
9,0.030175,0.016832,0,0.94285,0.89566,0.9487,0.71279,0.024095,0.0040466,0,0.009472,0.009472,0.009472
10,0.030157,0.016647,0,0.93205,0.90387,0.95412,0.69726,0.023905,0.0043189,0,0.009406,0.009406,0.009406
11,0.029526,0.0164,0,0.92609,0.89683,0.94483,0.68131,0.022748,0.0042611,0,0.00934,0.00934,0.00934
12,0.028205,0.016318,0,0.9519,0.89449,0.95102,0.70962,0.023661,0.0043173,0,0.009274,0.009274,0.009274
13,0.029052,0.015958,0,0.93714,0.89566,0.94678,0.67749,0.023773,0.0045047,0,0.009208,0.009208,0.009208
14,0.028333,0.016174,0,0.95213,0.90929,0.95933,0.7069,0.021727,0.0040893,0,0.009142,0.009142,0.009142
15,0.028751,0.016108,0,0.94349,0.89097,0.94685,0.69503,0.0228,0.0041358,0,0.009076,0.009076,0.009076
16,0.027757,0.015999,0,0.94524,0.87339,0.93281,0.68869,0.0226,0.0043287,0,0.00901,0.00901,0.00901
17,0.026259,0.016032,0,0.95109,0.89683,0.95377,0.72609,0.022178,0.0040881,0,0.008944,0.008944,0.008944
18,0.027089,0.015849,0,0.92336,0.88985,0.93561,0.69013,0.021483,0.0042944,0,0.008878,0.008878,0.008878
19,0.026298,0.015787,0,0.94075,0.91442,0.96527,0.70628,0.020587,0.0041639,0,0.008812,0.008812,0.008812
20,0.026499,0.015785,0,0.94979,0.89566,0.9555,0.73846,0.020635,0.0040399,0,0.008746,0.008746,0.008746
21,0.026586,0.015708,0,0.93031,0.88863,0.95147,0.67888,0.022318,0.0040094,0,0.00868,0.00868,0.00868
22,0.026982,0.015677,0,0.93614,0.90856,0.956,0.7169,0.020604,0.003998,0,0.008614,0.008614,0.008614
23,0.026207,0.015543,0,0.94719,0.90423,0.96068,0.72759,0.020587,0.003839,0,0.008548,0.008548,0.008548
24,0.026075,0.01537,0,0.93893,0.91794,0.96409,0.75192,0.0203,0.0039004,0,0.008482,0.008482,0.008482
25,0.025604,0.015685,0,0.9322,0.90271,0.96024,0.75662,0.019615,0.0038379,0,0.008416,0.008416,0.008416
26,0.025459,0.01566,0,0.93842,0.91325,0.96148,0.74847,0.020488,0.0039474,0,0.00835,0.00835,0.00835
27,0.025514,0.015483,0,0.94952,0.90404,0.96081,0.76955,0.019753,0.0038224,0,0.008284,0.008284,0.008284
28,0.02568,0.014956,0,0.94931,0.90856,0.96409,0.74415,0.020719,0.0040062,0,0.008218,0.008218,0.008218
29,0.025115,0.015514,0,0.92057,0.92497,0.96535,0.75893,0.019722,0.003749,0,0.008152,0.008152,0.008152
30,0.025343,0.015548,0,0.96508,0.90726,0.96472,0.74395,0.020257,0.0037968,0,0.008086,0.008086,0.008086
31,0.024353,0.015185,0,0.96544,0.88433,0.95801,0.75291,0.019639,0.0037081,0,0.00802,0.00802,0.00802
32,0.024378,0.015206,0,0.95463,0.9126,0.9679,0.74197,0.019919,0.0037568,0,0.007954,0.007954,0.007954
33,0.024713,0.015456,0,0.9445,0.90739,0.96055,0.75364,0.019612,0.0037952,0,0.007888,0.007888,0.007888
34,0.024777,0.015188,0,0.84614,0.76788,0.84724,0.54444,0.026046,0.0054061,0,0.007822,0.007822,0.007822
35,0.024054,0.01505,0,0.93096,0.91681,0.96107,0.75141,0.020415,0.0039238,0,0.007756,0.007756,0.007756
36,0.023818,0.015077,0,0.94772,0.91559,0.96411,0.77906,0.019242,0.0036401,0,0.00769,0.00769,0.00769
37,0.024014,0.014949,0,0.93686,0.90456,0.95783,0.75623,0.019434,0.0038113,0,0.007624,0.007624,0.007624
38,0.023836,0.015046,0,0.95594,0.91794,0.96728,0.75763,0.01942,0.0038902,0,0.007558,0.007558,0.007558
39,0.024026,0.014892,0,0.93561,0.91208,0.96107,0.7595,0.019624,0.0039248,0,0.007492,0.007492,0.007492
40,0.023828,0.014997,0,0.93361,0.90504,0.95898,0.74258,0.019074,0.0041402,0,0.007426,0.007426,0.007426
41,0.023083,0.014826,0,0.95222,0.91114,0.96015,0.76392,0.019539,0.0038097,0,0.00736,0.00736,0.00736
42,0.024025,0.015011,0,0.95089,0.90797,0.96381,0.74736,0.0198,0.0037712,0,0.007294,0.007294,0.007294
43,0.023303,0.015003,0,0.91212,0.90045,0.95312,0.74126,0.01966,0.0040061,0,0.007228,0.007228,0.007228
44,0.023459,0.014939,0,0.95895,0.90373,0.96053,0.75678,0.019696,0.0038515,0,0.007162,0.007162,0.007162
45,0.023375,0.014662,0,0.94573,0.91911,0.96126,0.76934,0.019845,0.0036453,0,0.007096,0.007096,0.007096
46,0.023534,0.015002,0,0.95491,0.89801,0.96007,0.75585,0.020618,0.0038562,0,0.00703,0.00703,0.00703
47,0.023275,0.014794,0,0.94561,0.91442,0.96618,0.77183,0.019511,0.0035019,0,0.006964,0.006964,0.006964
48,0.023102,0.014803,0,0.96037,0.89097,0.95898,0.75609,0.019628,0.0038836,0,0.006898,0.006898,0.006898
49,0.023425,0.014965,0,0.95852,0.91325,0.96317,0.77655,0.018883,0.0038139,0,0.006832,0.006832,0.006832
50,0.02313,0.014661,0,0.93474,0.90973,0.96292,0.77717,0.019372,0.0037878,0,0.006766,0.006766,0.006766
51,0.022526,0.014514,0,0.92482,0.90859,0.95496,0.76167,0.020765,0.003765,0,0.0067,0.0067,0.0067
52,0.022094,0.014434,0,0.93975,0.91325,0.95976,0.75915,0.019341,0.0038427,0,0.006634,0.006634,0.006634
53,0.022365,0.014569,0,0.94328,0.91639,0.969,0.7782,0.018421,0.0035345,0,0.006568,0.006568,0.006568
54,0.022465,0.014612,0,0.96378,0.90465,0.96843,0.79283,0.019182,0.0036619,0,0.006502,0.006502,0.006502
55,0.022562,0.014698,0,0.9572,0.91208,0.96649,0.79436,0.018467,0.0038655,0,0.006436,0.006436,0.006436
56,0.021633,0.014334,0,0.95437,0.90731,0.96595,0.77257,0.017998,0.0036899,0,0.00637,0.00637,0.00637
57,0.022486,0.014462,0,0.96113,0.90504,0.9667,0.77833,0.017743,0.003666,0,0.006304,0.006304,0.006304
58,0.022392,0.014445,0,0.95031,0.92028,0.96604,0.80493,0.017724,0.0035513,0,0.006238,0.006238,0.006238
59,0.021994,0.014382,0,0.95357,0.91484,0.96629,0.78171,0.018156,0.0036602,0,0.006172,0.006172,0.006172
60,0.022555,0.01469,0,0.94169,0.93435,0.966,0.78801,0.018119,0.0036142,0,0.006106,0.006106,0.006106
61,0.022317,0.014329,0,0.92484,0.84174,0.92773,0.6876,0.020826,0.0044115,0,0.00604,0.00604,0.00604
62,0.022274,0.014427,0,0.94159,0.90706,0.96365,0.77907,0.01825,0.0035857,0,0.005974,0.005974,0.005974
63,0.022428,0.014559,0,0.93381,0.92625,0.97108,0.77721,0.017877,0.003553,0,0.005908,0.005908,0.005908
64,0.0218,0.01443,0,0.95405,0.91911,0.9669,0.78355,0.018703,0.003705,0,0.005842,0.005842,0.005842
